script_file,storyboard_file,dialect,client,subject,audience,language,flag
Umed_2.1.1_Script.docx,Umed_2.1.1_Story.docx,linear,Prachi Sathe,learning_process,teacher_training,marathi,
Umed_2.1.2_Script.docx,Umed_2.1.2_Story.docx,linear,Prachi Sathe,learning_process,teacher_training,marathi,
Umed_2.1.3_Script.docx,Umed_2.1.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.1.4_Script.docx,Umed_2.1.4_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.1.5_Script.docx,Umed_2.1.5_Story.docx,linear,Prachi Sathe,learning_environment,teacher_training,marathi,
Umed_2.1.6_Script.docx,Umed_2.1.6_Story.docx,linear,Prachi Sathe,emotions_learning,teacher_training,marathi,
Umed_2.2.1_Script.docx,Umed_2.2.1_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.2.2_Script.docx,Umed_2.2.2_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.2.3_Script.docx,Umed_2.2.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.2.4_Script.docx,Umed_2.2.4_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.3.1_Script.docx,Umed_2.3.1_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.3.2_Script.docx,Umed_2.3.2_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.3.3_Script.docx,Umed_2.3.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.3.4_Script.docx,Umed_2.3.4_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.4.1_Script.docx,Umed_2.4.1_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.4.2_Script.docx,Umed_2.4.2_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.4.3_Script.docx,Umed_2.4.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.4.4_Script.docx,Umed_2.4.4_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.4.5_Script.docx,Umed_2.4.5_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.1_Script.docx,Umed_2.5.1_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.2_Script.docx,Umed_2.5.2_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.3_Script.docx,Umed_2.5.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.4_Script.docx,Umed_2.5.4_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.5_Script.docx,Umed_2.5.5_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.6_Script.docx,Umed_2.5.6_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.5.7_Script.docx,Umed_2.5.7_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.6.1_Script.docx,Umed_2.6.1_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.6.2_Script.docx,Umed_2.6.2_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.6.3_Script.docx,Umed_2.6.3_Story.docx,linear,Prachi Sathe,brain_science,teacher_training,marathi,
Umed_2.6.4_Script.docx,Umed_2.6.4_Story.docx,linear,Prachi Sathe,intelligence_cognition,teacher_training,marathi,
Umed_2.7.1_Script.docx,Umed_2.7.1_Story.docx,linear,Prachi Sathe,intelligence_cognition,teacher_training,marathi,
Umed_2.7.2_Script.docx,Umed_2.7.2_Story.docx,linear,Prachi Sathe,intelligence_cognition,teacher_training,marathi,
Umed_2.7.3_Script.docx,Umed_2.7.3_Story.docx,linear,Prachi Sathe,intelligence_cognition,teacher_training,marathi,
Umed_2.7.4_Script.docx,Umed_2.7.4_Story.docx,linear,Prachi Sathe,intelligence_cognition,teacher_training,marathi,
Umed_2.7.5_Script.docx,Umed_2.7.5_Story.docx,linear,Prachi Sathe,summary_recap,teacher_training,marathi,
ADGM UBO Course_Proposed Modules_1.docx,SB Identifying UBOs Under the ADGM BOC Regulations.xlsx,interactive,ADG fintech,regulatory_compliance,teacher_training,english,
